"","p-value","R-squared","p.valor_beta0","p.valor_B73_PvsB73_noP","p.valor_MICH_noPvsB73_noP","p.valor_MICH_PvsB73_noP","p.valor_Time","p.valor_TimexB73_P","p.valor_TimexMICH_noP","p.valor_TimexMICH_P","p.valor_Time2","p.valor_Time2xB73_P","p.valor_Time2xMICH_noP","p.valor_Time2xMICH_P","p.valor_Time3","p.valor_Time3xB73_P","p.valor_Time3xMICH_noP","p.valor_Time3xMICH_P"
"Zm00001eb000540",1.65720770293999e-13,0.795447642473883,0.000318850368863292,NA,8.06992661811531e-08,1.43829458563227e-12,NA,NA,NA,NA,NA,NA,NA,0.00577168041205684,NA,NA,NA,NA
"Zm00001eb000770",2.22201876344942e-07,0.609194618820517,NA,NA,NA,NA,1.44647550762244e-08,1.46649490130478e-06,NA,NA,NA,NA,0.000952565479872728,6.61679661291167e-07,NA,NA,NA,NA
"Zm00001eb002090",7.71119928085792e-09,0.64323347436843,2.88681089698535e-18,0.00129742646960478,0.15509122019218,2.51465088835824e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb002190",1.77401354714739e-10,0.73394482786176,3.55617317831013e-20,NA,NA,2.86972764172738e-07,1.29675832811881e-10,NA,0.0356012643587096,NA,NA,NA,NA,NA,NA,0.00168300588904334,NA,NA
"Zm00001eb002620",5.82827094347037e-09,0.679043876821475,NA,NA,NA,NA,4.15481780625666e-08,1.77901859755876e-06,NA,1.68849132158565e-06,NA,NA,0.47444391165893,NA,NA,NA,NA,NA
"Zm00001eb003480",1.37884768486742e-09,0.702997057627731,NA,NA,NA,NA,3.16664725312145e-11,NA,NA,NA,NA,5.35888744196489e-07,0.000130050914085889,3.80887225933633e-08,NA,NA,NA,NA
"Zm00001eb003890",5.65975869736594e-08,0.637126604026236,NA,NA,NA,NA,1.95911573125588e-09,NA,NA,NA,NA,0.000221780180271557,0.00466033386949698,1.6975351522579e-05,NA,NA,NA,NA
"Zm00001eb004320",2.92005572430236e-09,0.690767575834735,NA,NA,NA,NA,5.07234008652401e-10,NA,9.35495553994562e-05,NA,NA,5.05661600241056e-09,NA,3.8296616171912e-09,NA,NA,NA,NA
"Zm00001eb004590",1.82894131319733e-09,0.724583641591016,0.0449834951528157,NA,NA,NA,0.835155735059115,NA,3.11166893405517e-07,NA,0.0129659718670953,2.12387504222896e-09,NA,NA,NA,NA,NA,1.77031709623349e-09
"Zm00001eb005380",2.28293179128946e-07,0.608620065417662,0.00249258618394543,NA,0.0172231826754641,8.03448852213259e-05,1.50632138574764e-07,NA,NA,0.00681149326247684,NA,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb005420",2.34455775237264e-07,0.638550378994528,8.48700296356837e-18,NA,0.00287104054380838,0.00011313182266699,1.21180304023418e-06,NA,0.00718189098923845,NA,NA,2.27482923427559e-05,NA,NA,NA,NA,NA,NA
"Zm00001eb005900",2.07415835379052e-07,0.61065355567526,NA,NA,NA,NA,4.77754076960961e-08,1.02152847588165e-06,NA,NA,NA,NA,0.00773255429675662,7.29672009908904e-07,NA,NA,NA,NA
"Zm00001eb005930",2.20638327099296e-07,0.609344493138836,0.000269689346475841,NA,NA,NA,NA,NA,NA,NA,1.6854836635603e-08,2.09145518840334e-07,0.000415893302005475,3.13563749567131e-07,NA,NA,NA,NA
"Zm00001eb006390",4.53802287833646e-08,0.67045682671904,0.00216361296225984,NA,NA,NA,0.830634238969645,NA,NA,NA,0.0426661974831812,NA,3.46830482298622e-05,NA,NA,7.68539795404866e-08,NA,3.31311669921381e-08
"Zm00001eb006860",3.55023506971227e-09,0.687498289492007,NA,NA,NA,NA,NA,NA,NA,NA,9.81114624563008e-11,7.06035445591224e-07,0.000105200490353063,2.06593315562277e-08,NA,NA,NA,NA
