"","p-value","R-squared","p.valor_beta0","p.valor_ControlvsPhosphorus","p.valor_Time","p.valor_TimexControl","p.valor_Time2","p.valor_Time2xControl","p.valor_Time3","p.valor_Time3xControl"
"Zm00001eb000290",NA,0,0.0370987874295307,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb000320",4.34401561254472e-11,0.731761109621835,2.04745213623261e-12,NA,0.00101500257541957,NA,0.0118890503731824,NA,NA,NA
"Zm00001eb000380",NA,0,0.000372032212997993,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb000510",0.000837928133503528,0.462775973195449,5.22093521067155e-16,NA,0.00946247786269104,NA,0.004224551124861,NA,NA,NA
"Zm00001eb000540",1.00590970755485e-21,0.828397756354779,1.11513504790253e-16,1.56099897064824e-08,NA,NA,NA,NA,NA,NA
"Zm00001eb000560",NA,2.64690779091612e-16,0.0208100914160739,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb000640",9.76776096658253e-05,0.50943764325286,2.64492134489595e-13,NA,NA,NA,0.00951572219731096,NA,0.0265005423832668,NA
"Zm00001eb000690",0.000127375070135831,0.628163470000895,4.73677876889434e-08,0.0145298023372839,0.0277715669916329,0.00726973395833429,NA,0.00461178574059196,0.00516205835546639,NA
"Zm00001eb000720",0.000347337710476694,0.406445957469489,4.22316368923095e-17,NA,NA,NA,0.0022837087358798,NA,NA,NA
"Zm00001eb000740",2.24299511477024e-07,0.623841293483157,2.92241757617211e-22,NA,5.98067408393878e-05,NA,NA,NA,NA,NA
"Zm00001eb000750",2.84556106556275e-09,0.759380117741868,4.23185202985808e-13,0.00961089993500377,NA,0.00643075073434294,0.00622694800009425,NA,0.0185828684201444,0.0130518855825099
"Zm00001eb000770",1.66112188166092e-05,0.51758682363496,6.8129213406041e-19,NA,NA,NA,0.000379727518816986,NA,NA,NA
"Zm00001eb000790",7.06315350285513e-07,0.571615223739745,1.45244295106366e-10,NA,9.02166544767319e-05,NA,NA,NA,NA,NA
"Zm00001eb000850",2.28698561868242e-09,0.719830009401838,4.97672574922549e-21,NA,NA,NA,4.62059428519819e-06,0.0111985727203044,NA,NA
"Zm00001eb000880",NA,0,0.000625661776821667,NA,NA,NA,NA,NA,NA,NA
"Zm00001eb001020",0.00897676971342604,0.356832095796012,3.16959927392089e-10,NA,0.0258445871022893,NA,0.0139350010596684,NA,NA,NA
"Zm00001eb001060",2.97627212242794e-12,0.659869063727135,3.07982294530136e-07,NA,NA,NA,1.71957138615071e-06,NA,NA,NA
"Zm00001eb001090",0.001054081679479,0.407284069580089,0.0402713700178974,NA,NA,NA,0.0218512262724832,NA,NA,NA
"Zm00001eb001130",2.94639001027464e-06,0.635135484062318,1.19097858527461e-15,0.0417299454952025,0.000693868152756497,NA,NA,NA,0.00272150656543331,NA
